EXP True plastic strain,"EXP True stress, Mpa",1 True plastic strain,"1 True stress, Mpa","2 True plastic strain,-","2 True stress, Mpa","3 True plastic strain,-","3 True stress, Mpa","4 True plastic strain,-","4 True stress, Mpa","5 True plastic strain,-","5 True stress, Mpa","6 True plastic strain,-","6 True stress, Mpa","7 True plastic strain,-","7 True stress, Mpa"
0,123.384552,0.0192,975.1130995,0.0192,965.2880931,0.0192,966.2705937,0.0192,968.235595,0.0192,970.2005963,0.0192,972.1655976,0.0192,974.1305989
9.87E-06,123.7494659,0.0194,976.057904,0.0194,966.0413698,0.0194,967.0430233,0.0194,969.0463301,0.0194,971.0496369,0.0194,973.0529437,0.0194,975.0562506
0,124.5611496,0.0196,976.9888387,0.0196,966.7874994,0.0196,967.8076333,0.0196,969.8479012,0.0196,971.888169,0.0196,973.9284369,0.0196,975.9687048
5.57E-07,125.4863434,0.0198,977.9061073,0.0198,967.5266214,0.0198,968.56457,0.0198,970.6404672,0.0198,972.7163644,0.0198,974.7922616,0.0198,976.8681588
0,126.5858917,0.02,978.8099105,0.02,968.2588715,0.02,969.3139754,0.02,971.4241832,0.02,973.534391,0.02,975.6445988,0.02,977.7548066
0,127.6998444,0.0202,979.7004458,0.0202,968.9843814,0.0202,970.0559878,0.0202,972.1992007,0.0202,974.3424136,0.0202,976.4856265,0.0202,978.6288393
0,128.9232483,0.0204,980.5779081,0.0204,969.7032788,0.0204,970.7907418,0.0204,972.9656676,0.0204,975.1405934,0.0204,977.3155193,0.0204,979.4904451
2.88E-06,130.192627,0.0206,981.4424892,0.0206,970.4156881,0.0206,971.5183682,0.0206,973.7237284,0.0206,975.9290887,0.0206,978.1344489,0.0206,980.3398091
1.79E-06,131.3765411,0.0208,982.2943783,0.0208,971.12173,0.0208,972.2389948,0.0208,974.4735245,0.0208,976.7080541,0.0208,978.9425838,0.0208,981.1771134
0,132.6468964,0.021,983.1337616,0.021,971.8215217,0.021,972.9527456,0.021,975.2151936,0.021,977.4776416,0.021,979.7400896,0.021,982.0025376
0,133.8355255,0.0212,983.9608228,0.0212,972.5151773,0.0212,973.6597418,0.0212,975.9488709,0.0212,978.2380001,0.0212,980.5271292,0.0212,982.8162583
6.57E-06,134.9334412,0.0214,984.7757428,0.0214,973.2028077,0.0214,974.3601013,0.0214,976.6746883,0.0214,978.9892753,0.0214,981.3038623,0.0214,983.6184493
2.91E-06,136.2358856,0.0216,985.5786998,0.0216,973.884521,0.0216,975.0539389,0.0216,977.3927746,0.0216,979.7316104,0.0216,982.0704461,0.0216,984.4092819
9.16E-06,137.4613037,0.0218,986.3698693,0.0218,974.560422,0.0218,975.7413668,0.0218,978.1032562,0.0218,980.4651457,0.0218,982.8270351,0.0218,985.1889246
3.96E-06,138.6956787,0.022,987.1494245,0.022,975.2306131,0.022,976.4224942,0.022,978.8062565,0.022,981.1900188,0.022,983.5737811,0.022,985.9575434
1.89E-05,139.7461853,0.0222,987.9175358,0.0222,975.8951936,0.0222,977.0974278,0.0222,979.5018963,0.0222,981.9063647,0.0222,984.3108332,0.0222,986.7153016
